Genera	"AVG (Control)"	"SD (Control)"	"AVG (pHTN)"	"SD (pHTN)"	"AVG (HTN)"	"SD (HTN)"	DiffNum	DiffPairs	Pairs-P-values	Pairs-Q-values
Eggerthella	0.000337	0.000377	0.000167	0.00017	0.000399	0.001363	2	"Control_VS_pHTN,pHTN_VS_HTN"	"0.001111309,0.06995953"	"0.014447017,0.0874494125"
Acidaminococcus	0.00014	0.000095	0.000171	0.00028	0.000395	0.001616	1	Control_VS_HTN	0.0983263	0.0983263
Butyrivibrio	0.000706	0.000413	0.000505	0.000456	0.000636	0.001129	2	"Control_VS_pHTN,Control_VS_HTN"	"0.003288567,0.01148408"	"0.0183220161428571,0.0238515507692308"
Flavonifractor	0.001059	0.001815	0.000422	0.000586	0.000625	0.000941	3	"Control_VS_pHTN,Control_VS_HTN,pHTN_VS_HTN"	"0.003784644,0.07638183,0.08697044"	"0.0147601116,0.0896656265217391,0.08697044"
Pyramidobacter	0.000429	0.001604	0.000245	0.001069	0.000116	0.000268	2	"Control_VS_pHTN,Control_VS_HTN"	"0.01428157,0.008579982"	"0.0293148015789474,0.0193049595"
Veillonella	0.000659	0.001237	0.000375	0.001155	0.000327	0.000646	2	"Control_VS_pHTN,Control_VS_HTN"	"0.08546548,0.05739521"	"0.0900852356756757,0.0704395759090909"
Acidiphilium	0.000107	0.000356	0.000154	0.000953	0.000113	0.000378	2	"Control_VS_pHTN,Control_VS_HTN"	"0.01343556,0.01870674"	"0.02911038,0.0297107047058824"
Dorea	0.000934	0.000468	0.000952	0.001139	0.000953	0.000768	1	Control_VS_pHTN	0.02568001	0.043544365
Ruminiclostridium	0.001319	0.00111	0.000624	0.00044	0.000856	0.000975	2	"Control_VS_pHTN,Control_VS_HTN"	"0.0002165468,0.001009991"	"0.0042226626,0.009089919"
Intestinimonas	0.000687	0.000719	0.000353	0.000295	0.00042	0.000499	2	"Control_VS_pHTN,Control_VS_HTN"	"0.003063427,0.001187196"	"0.0199122755,0.008013573"
Peptoclostridium	0.000692	0.000513	0.00048	0.000284	0.000567	0.000458	2	"Control_VS_pHTN,Control_VS_HTN"	"0.01644072,0.09197401"	"0.032059404,0.0993319308"
Coprobacillus	0.000077	0.000048	0.000133	0.000423	0.000114	0.000188	1	Control_VS_pHTN	0.0600426	0.070959436
Porphyromonas	0.000395	0.000454	0.00035	0.000337	0.000429	0.000367	1	pHTN_VS_HTN	0.03002467	0.100082233
Pseudoflavonifractor	0.000643	0.000507	0.000367	0.00028	0.000431	0.000424	2	"Control_VS_pHTN,Control_VS_HTN"	"0.00285243,0.005145598"	"0.0278111925,0.015436794"
Paenibacillus	0.000432	0.00033	0.000266	0.000257	0.00028	0.000289	2	"Control_VS_pHTN,Control_VS_HTN"	"0.003697507,0.001905569"	"0.0160225303333333,0.00735005185714286"
Holdemania	0.00038	0.000309	0.000215	0.000167	0.000232	0.000236	2	"Control_VS_pHTN,Control_VS_HTN"	"0.005100166,0.001818942"	"0.0165755395,0.008185239"
Tyzzerella	0.000326	0.00022	0.000257	0.000216	0.000298	0.000271	1	Control_VS_pHTN	0.04658837	0.058611175
Marvinbryantia	0.000282	0.000196	0.000202	0.000194	0.000187	0.000152	2	"Control_VS_pHTN,Control_VS_HTN"	"0.005216757,0.001392754"	"0.015650271,0.0075208716"
Enterococcus	0.00015	0.000098	0.000126	0.000127	0.000144	0.00011	2	"Control_VS_pHTN,pHTN_VS_HTN"	"0.02666335,0.04857034"	"0.041594826,0.12142585"
Oribacterium	0.000262	0.000132	0.000215	0.000155	0.000182	0.000133	2	"Control_VS_pHTN,Control_VS_HTN"	"0.03512897,0.0004523022"	"0.0507418455555556,0.0122121594"
Treponema	0.000204	0.000113	0.000152	0.0001	0.000156	0.000128	2	"Control_VS_pHTN,Control_VS_HTN"	"0.0212201,0.006006878"	"0.0394087571428571,0.0162185706"
Robinsoniella	0.000182	0.000117	0.000102	0.000083	0.000116	0.000101	2	"Control_VS_pHTN,Control_VS_HTN"	"0.0001668074,0.0006912003"	"0.0065054886,0.00933120405"
